Tool ID,Timestamp,Frame #,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,Tracking Quality
1,1787782458.6515129,91,54.94,92.78,-1699.73,-0.954204706399532,0.09720488583674716,-0.2829215234909638,-0.18220512075928566,-0.9389243003973802,0.2919288476536439,-0.23726498320248846,0.33010963071797106,0.9136372143543451,0.6201
1,1787782458.7121809,94,54.94,92.78,-1699.55,-0.9534507759255858,0.09696694668333387,-0.2855328862632286,-0.18243517594000028,-0.9394286489389089,0.2901572334658529,-0.24010211258262498,0.328741881730527,0.9133891562360661,0.6534
1,1787782458.7720664,97,54.94,92.78,-1699.53,-0.9534522531370595,0.09693692576421832,-0.28553814703336416,-0.1824563302017329,-0.9393671023436746,0.29034313252385463,-0.2400801711036979,0.32892655632805146,0.9133284359883844,0.6471
1,1787782458.8169813,100,54.93,92.77,-1699.51,-0.9535313532752769,0.09680755189299882,-0.28531781615858304,-0.18221585318647335,-0.9394547765015866,0.2902104508040315,-0.23994862193508054,0.32871419319043393,0.9134394550415577,0.6667000000000001
1,1787782458.8770514,103,54.94,92.77,-1699.56,-0.953538945687898,0.09683295669688759,-0.2852838192988701,-0.1821734607217261,-0.9395280919059397,0.2899996460829801,-0.23995063922624038,0.32849709742541516,0.9135170210335416,0.6681
1,1787782458.937686,106,54.94,92.77,-1699.52,-0.9533162239336955,0.09676042629670517,-0.2860517384804361,-0.1822594149457497,-0.9396457276060752,0.289564176401851,-0.24076894078853467,0.32818184973354203,0.9134150155635925,0.6525000000000001
1,1787782458.9829724,109,54.93,92.77,-1699.49,-0.9536425875768484,0.0969315281135254,-0.2849036574305596,-0.18209874475032378,-0.9395863099392816,0.2898579192208496,-0.239595205127501,0.32830145450829323,0.9136806294584832,0.6728000000000001
1,1787782459.0438683,115,54.93,92.77,-1699.51,-0.9535374732196134,0.09686294772596958,-0.28527855952347875,-0.18215231211146027,-0.9395895604551331,0.28981372133868843,-0.23997254500964085,0.3283123927626946,0.9135776652261316,0.6711
1,1787782459.1041603,118,54.93,92.77,-1699.54,-0.9534757847860799,0.09683324883571634,-0.28549474556721594,-0.1822003347509982,-0.9395793993162666,0.2898164770973315,-0.24018111050453853,0.3283502311563129,0.9135092554848049,0.6557000000000001
1,1787782459.1642203,121,54.93,92.77,-1699.52,-0.9532619762902588,0.09675623441270549,-0.28623388279772805,-0.18226490174512083,-0.9397087603793354,0.28935609766889997,-0.24097948076761924,0.3280025560397451,0.9134238956149343,0.6517000000000001
1,1787782459.223944,124,54.93,92.76,-1699.49,-0.9534571823529453,0.09666068534754034,-0.2856153240421916,-0.1819709558136363,-0.9397433628354871,0.2894287187666795,-0.24042872677750876,0.3279315841982804,0.9135944961662981,0.6429
1,1787782459.2840366,127,54.94,92.77,-1699.54,-0.9535650343146946,0.09703101195872656,-0.2851292830466227,-0.18236028480105357,-0.9394372048901978,0.2901766093181381,-0.2397049266487743,0.3286985256832744,0.91350907349295,0.6496000000000001
1,1787782459.344235,133,54.93,92.77,-1699.53,-0.953538945687898,0.09683295669688759,-0.2852838192988701,-0.1821734607217261,-0.9395280919059397,0.2899996460829801,-0.23995063922624038,0.32849709742541516,0.9135170210335416,0.6614
1,1787782459.4050076,136,54.93,92.77,-1699.54,-0.9535328279905028,0.09677755479769934,-0.28532306396751744,-0.18223699527753115,-0.9393932265385379,0.2903963558409989,-0.23992670442585343,0.32889887628402326,0.9133787306930546,0.6455000000000001
1,1787782459.450454,139,54.93,92.77,-1699.52,-0.9536179687018534,0.09670349918933194,-0.2850635069830748,-0.18193301025558073,-0.9396156547019059,0.289866868093702,-0.23981899330180967,0.3282847158849278,0.913627930707057,0.6613
1,1787782459.5110838,142,54.93,92.77,-1699.52,-0.9532927081046879,0.09686393188639608,-0.2860950740120108,-0.18251558229181028,-0.9394335502047042,0.29009079090944406,-0.24066797646365776,0.32875824468641546,0.9132343300903638,0.6534
1,1787782459.571814,145,54.93,92.77,-1699.55,-0.9535328279905028,0.09677755479769934,-0.28532306396751744,-0.18223699527753115,-0.9393932265385379,0.2903963558409989,-0.23992670442585343,0.32889887628402326,0.9133787306930546,0.6452
1,1787782459.6173046,148,54.93,92.76,-1699.49,-0.953592991040582,0.09683729208637441,-0.28510164205008437,-0.18216778604345785,-0.9394649594380939,0.29020766308973517,-0.2397400783479917,0.3286763283982564,0.9135078357542098,0.6658000000000001
1,1787782459.677145,151,54.93,92.77,-1699.52,-0.953455210071651,0.09687688382874944,-0.28554865043780986,-0.1824986237468085,-0.9392439045079599,0.29071487780153754,-0.24003627792011847,0.32929585060287814,0.9132068922527811,0.6678000000000001
1,1787782459.7370114,154,54.93,92.76,-1699.49,-0.9533765776919613,0.09682016705539921,-0.28583029293573525,-0.18219020134003344,-0.9397172673998956,0.2893755136257232,-0.24058227624669637,0.3279593154673879,0.913544118121353,0.648
1,1787782459.7817678,157,54.93,92.77,-1699.53,-0.9534787349657504,0.09677321852974748,-0.28550524713830694,-0.1822426710625179,-0.9394564072854003,0.2901883313546682,-0.2401372749327161,0.3287196419227204,0.9133879166061305,0.6302
