timestamp,SI Transform,NDI Transform
2026-07-18 20:49:43.653746-07:00,"[[-0.2836  -0.633    0.72034 -0.00555]
 [-0.9304   0.36353 -0.04685  0.85757]
 [-0.23221 -0.68349 -0.69204  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57153499e-01  5.15046643e-01 -3.85151262e-03 -9.15400000e+01]
 [-5.13018804e-01  8.53065736e-01 -9.53444116e-02  1.09100000e+01]
 [-4.58212256e-02  8.37006944e-02  9.95436894e-01 -2.19178000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:43.719493-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.56949760e-01  5.15386982e-01 -3.65605517e-03 -9.15400000e+01]
 [-5.13376728e-01  8.52936373e-01 -9.45720835e-02  1.09100000e+01]
 [-4.56228383e-02  8.29204579e-02  9.95511303e-01 -2.19178000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:43.764783-07:00,"[[-0.2836  -0.633    0.72034 -0.00555]
 [-0.9304   0.36353 -0.04685  0.85757]
 [-0.23221 -0.68349 -0.69204  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57039325e-01  5.15241213e-01 -3.17625489e-03 -9.15400000e+01]
 [-5.13166610e-01  8.53002119e-01 -9.51178971e-02  1.09000000e+01]
 [-4.62993085e-02  8.31497263e-02  9.95460947e-01 -2.19176000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:43.830645-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57154769e-01  5.15044372e-01 -3.87248400e-03 -9.15500000e+01]
 [-5.12980408e-01  8.52996815e-01 -9.61641055e-02  1.09100000e+01]
 [-4.62255648e-02  8.44140301e-02  9.95357960e-01 -2.19182000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:43.885605-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57153431e-01  5.15046999e-01 -3.81911035e-03 -9.15500000e+01]
 [-5.12987416e-01  8.53014181e-01 -9.59724909e-02  1.09100000e+01]
 [-4.61725881e-02  8.42223053e-02  9.95376660e-01 -2.19178000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:43.896577-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57153431e-01  5.15046999e-01 -3.81911035e-03 -9.15500000e+01]
 [-5.12987416e-01  8.53014181e-01 -9.59724909e-02  1.09100000e+01]
 [-4.61725881e-02  8.42223053e-02  9.95376660e-01 -2.19178000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:43.950789-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57165554e-01  5.15022491e-01 -4.36426784e-03 -9.15500000e+01]
 [-5.12987441e-01  8.52961332e-01 -9.64409218e-02  1.09100000e+01]
 [-4.59466921e-02  8.49046507e-02  9.95329142e-01 -2.19176000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:44.016776-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57041979e-01  5.15236129e-01 -3.28305262e-03 -9.15400000e+01]
 [-5.13152604e-01  8.52967722e-01 -9.55011515e-02  1.09000000e+01]
 [-4.64053057e-02  8.35332029e-02  9.95423905e-01 -2.19181000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:44.131673-07:00,"[[-0.28351 -0.633    0.72037 -0.00555]
 [-0.93041  0.36353 -0.04674  0.85757]
 [-0.23229 -0.68349 -0.69202  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57091044e-01  5.15146233e-01 -4.39318026e-03 -9.15500000e+01]
 [-5.13245009e-01  8.53130168e-01 -9.35332953e-02  1.09100000e+01]
 [-4.44353702e-02  8.24213276e-02  9.95606460e-01 -2.19177000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:44.185917-07:00,"[[-0.28351 -0.633    0.72037 -0.00555]
 [-0.93041  0.36353 -0.04674  0.85757]
 [-0.23229 -0.68349 -0.69202  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57152006e-01  5.15049999e-01 -3.73333611e-03 -9.15500000e+01]
 [-5.12962854e-01  8.52979737e-01 -9.64089104e-02  1.09100000e+01]
 [-4.64709491e-02  8.45521536e-02  9.95334810e-01 -2.19181000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:44.197431-07:00,"[[-0.2836  -0.633    0.72034 -0.00555]
 [-0.9304   0.36353 -0.04685  0.85757]
 [-0.23221 -0.68349 -0.69204  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57152006e-01  5.15049999e-01 -3.73333611e-03 -9.15500000e+01]
 [-5.12962854e-01  8.52979737e-01 -9.64089104e-02  1.09100000e+01]
 [-4.64709491e-02  8.45521536e-02  9.95334810e-01 -2.19181000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:44.243204-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57068864e-01  5.15181532e-01 -4.57730675e-03 -9.15500000e+01]
 [-5.13232380e-01  8.52982706e-01 -9.49369675e-02  1.09100000e+01]
 [-4.50054089e-02  8.37167409e-02  9.95472762e-01 -2.19181000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:44.310950-07:00,"[[-0.2836  -0.633    0.72034 -0.00555]
 [-0.9304   0.36353 -0.04685  0.85757]
 [-0.23221 -0.68349 -0.69204  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57312925e-01  5.14767310e-01 -5.40051427e-03 -9.15500000e+01]
 [-5.12853685e-01  8.53121557e-01 -9.57324765e-02  1.09100000e+01]
 [-4.46726542e-02  8.48423631e-02  9.95392449e-01 -2.19180000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:44.363920-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57227418e-01  5.14931167e-01 -2.65475952e-03 -9.15500000e+01]
 [-5.12759156e-01  8.53115129e-01 -9.62944662e-02  1.09100000e+01]
 [-4.73202063e-02  8.39075088e-02  9.95349350e-01 -2.19178000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:44.375084-07:00,"[[-0.2836  -0.633    0.72034 -0.00555]
 [-0.9304   0.36353 -0.04685  0.85757]
 [-0.23221 -0.68349 -0.69204  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57227418e-01  5.14931167e-01 -2.65475952e-03 -9.15500000e+01]
 [-5.12759156e-01  8.53115129e-01 -9.62944662e-02  1.09100000e+01]
 [-4.73202063e-02  8.39075088e-02  9.95349350e-01 -2.19178000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:44.409055-07:00,"[[-0.2836  -0.633    0.72034 -0.00555]
 [-0.9304   0.36353 -0.04685  0.85757]
 [-0.23221 -0.68349 -0.69204  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57156163e-01  5.15041401e-01 -3.95826192e-03 -9.15500000e+01]
 [-5.13004879e-01  8.53031188e-01 -9.57276700e-02  1.09100000e+01]
 [-4.59271925e-02  8.40841700e-02  9.95399691e-01 -2.19181000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:44.474307-07:00,"[[-0.2836  -0.633    0.72034 -0.00555]
 [-0.9304   0.36353 -0.04685  0.85757]
 [-0.23221 -0.68349 -0.69204  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57126596e-01  5.15099360e-01 -2.57823022e-03 -9.15400000e+01]
 [-5.12899427e-01  8.52981749e-01 -9.67280398e-02  1.09000000e+01]
 [-4.76253681e-02  8.42305483e-02  9.95307510e-01 -2.19182000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:44.528866-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57143684e-01  5.15066494e-01 -3.34829757e-03 -9.15500000e+01]
 [-5.12941753e-01  8.52980396e-01 -9.65152955e-02  1.09000000e+01]
 [-4.68557627e-02  8.44449576e-02  9.95325870e-01 -2.19178000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:44.541187-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57143684e-01  5.15066494e-01 -3.34829757e-03 -9.15500000e+01]
 [-5.12941753e-01  8.52980396e-01 -9.65152955e-02  1.09000000e+01]
 [-4.68557627e-02  8.44449576e-02  9.95325870e-01 -2.19178000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:44.595344-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57149526e-01  5.15054428e-01 -3.69138066e-03 -9.15500000e+01]
 [-5.13039617e-01  8.53117282e-01 -9.47694828e-02  1.09100000e+01]
 [-4.56622611e-02  8.31254418e-02  9.95492400e-01 -2.19178000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:44.660335-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57050317e-01  5.15219431e-01 -3.70042523e-03 -9.15500000e+01]
 [-5.13204727e-01  8.53018288e-01 -9.47666006e-02  1.09100000e+01]
 [-4.56690636e-02  8.31188208e-02  9.95492641e-01 -2.19182000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:44.693287-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57192439e-01  5.14964198e-01 -5.74438909e-03 -9.15500000e+01]
 [-5.13091810e-01  8.53011093e-01 -9.54403962e-02  1.09000000e+01]
 [-4.42483594e-02  8.47581849e-02  9.95418572e-01 -2.19178000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
