frame_number,video_timestamp,matched_timestamp,time_difference,NDI Transform,SI Transform
121,2026-07-27 11:14:02.874524-07:00,,,,
122,2026-07-27 11:14:02.907417-07:00,,,,
123,2026-07-27 11:14:02.941327-07:00,,,,
124,2026-07-27 11:14:02.974260-07:00,,,,
125,2026-07-27 11:14:03.008148-07:00,,,,
126,2026-07-27 11:14:03.040095-07:00,,,,
127,2026-07-27 11:14:03.073972-07:00,,,,
128,2026-07-27 11:14:03.106917-07:00,,,,
129,2026-07-27 11:14:03.139795-07:00,,,,
130,2026-07-27 11:14:03.173705-07:00,,,,
131,2026-07-27 11:14:03.206645-07:00,,,,
132,2026-07-27 11:14:03.237535-07:00,,,,
133,2026-07-27 11:14:03.274513-07:00,,,,
134,2026-07-27 11:14:03.310397-07:00,,,,
135,2026-07-27 11:14:03.340351-07:00,,,,
136,2026-07-27 11:14:03.373228-07:00,,,,
137,2026-07-27 11:14:03.407171-07:00,,,,
138,2026-07-27 11:14:03.440049-07:00,,,,
139,2026-07-27 11:14:03.474988-07:00,,,,
140,2026-07-27 11:14:03.506870-07:00,,,,
141,2026-07-27 11:14:03.539828-07:00,,,,
142,2026-07-27 11:14:03.574722-07:00,,,,
143,2026-07-27 11:14:03.608631-07:00,,,,
144,2026-07-27 11:14:03.637554-07:00,,,,
145,2026-07-27 11:14:03.674088-07:00,,,,
146,2026-07-27 11:14:03.706998-07:00,,,,
147,2026-07-27 11:14:03.739909-07:00,,,,
148,2026-07-27 11:14:03.772821-07:00,,,,
149,2026-07-27 11:14:03.806731-07:00,,,,
150,2026-07-27 11:14:03.839643-07:00,,,,
151,2026-07-27 11:14:03.873552-07:00,,,,
152,2026-07-27 11:14:03.907461-07:00,,,,
153,2026-07-27 11:14:03.945360-07:00,,,,
154,2026-07-27 11:14:03.975281-07:00,,,,
155,2026-07-27 11:14:04.008192-07:00,,,,
156,2026-07-27 11:14:04.038112-07:00,,,,
157,2026-07-27 11:14:04.075080-07:00,,,,
158,2026-07-27 11:14:04.108960-07:00,,,,
159,2026-07-27 11:14:04.142868-07:00,,,,
160,2026-07-27 11:14:04.175779-07:00,,,,
161,2026-07-27 11:14:04.214678-07:00,,,,
162,2026-07-27 11:14:04.242601-07:00,,,,
163,2026-07-27 11:14:04.276127-07:00,,,,
164,2026-07-27 11:14:04.310040-07:00,,,,
165,2026-07-27 11:14:04.342950-07:00,,,,
166,2026-07-27 11:14:04.375862-07:00,,,,
167,2026-07-27 11:14:04.408773-07:00,,,,
168,2026-07-27 11:14:04.438724-07:00,,,,
169,2026-07-27 11:14:04.476599-07:00,,,,
170,2026-07-27 11:14:04.509505-07:00,,,,
171,2026-07-27 11:14:04.542415-07:00,,,,
172,2026-07-27 11:14:04.578320-07:00,,,,
173,2026-07-27 11:14:04.613860-07:00,,,,
174,2026-07-27 11:14:04.643781-07:00,,,,
175,2026-07-27 11:14:04.676691-07:00,,,,
176,2026-07-27 11:14:04.710600-07:00,,,,
177,2026-07-27 11:14:04.743520-07:00,,,,
178,2026-07-27 11:14:04.775427-07:00,,,,
179,2026-07-27 11:14:04.809340-07:00,,,,
180,2026-07-27 11:14:04.839289-07:00,,,,
181,2026-07-27 11:14:04.877156-07:00,,,,
182,2026-07-27 11:14:04.910100-07:00,,,,
183,2026-07-27 11:14:04.943976-07:00,,,,
184,2026-07-27 11:14:04.976888-07:00,,,,
185,2026-07-27 11:14:05.009800-07:00,,,,
186,2026-07-27 11:14:05.042712-07:00,,,,
187,2026-07-27 11:14:05.075625-07:00,,,,
188,2026-07-27 11:14:05.109535-07:00,,,,
189,2026-07-27 11:14:05.143442-07:00,,,,
190,2026-07-27 11:14:05.177008-07:00,,,,
191,2026-07-27 11:14:05.209923-07:00,,,,
192,2026-07-27 11:14:05.239872-07:00,,,,
193,2026-07-27 11:14:05.276742-07:00,,,,
194,2026-07-27 11:14:05.310649-07:00,,,,
195,2026-07-27 11:14:05.345579-07:00,,,,
196,2026-07-27 11:14:05.376474-07:00,,,,
197,2026-07-27 11:14:05.410382-07:00,,,,
198,2026-07-27 11:14:05.443301-07:00,,,,
199,2026-07-27 11:14:05.476208-07:00,,,,
200,2026-07-27 11:14:05.511113-07:00,,,,
201,2026-07-27 11:14:05.544044-07:00,,,,
202,2026-07-27 11:14:05.577937-07:00,,,,
203,2026-07-27 11:14:05.610850-07:00,,,,
204,2026-07-27 11:14:05.640767-07:00,,,,
205,2026-07-27 11:14:05.676671-07:00,,,,
206,2026-07-27 11:14:05.710582-07:00,,,,
207,2026-07-27 11:14:05.744489-07:00,,,,
208,2026-07-27 11:14:05.777405-07:00,,,,
209,2026-07-27 11:14:05.811310-07:00,,,,
210,2026-07-27 11:14:05.842885-07:00,,,,
211,2026-07-27 11:14:05.876819-07:00,,,,
212,2026-07-27 11:14:05.909707-07:00,,,,
213,2026-07-27 11:14:05.943615-07:00,,,,
214,2026-07-27 11:14:05.977524-07:00,,,,
215,2026-07-27 11:14:06.010439-07:00,,,,
216,2026-07-27 11:14:06.040355-07:00,,,,
217,2026-07-27 11:14:06.077259-07:00,,,,
218,2026-07-27 11:14:06.110171-07:00,,,,
219,2026-07-27 11:14:06.144089-07:00,,,,
220,2026-07-27 11:14:06.176991-07:00,,,,
221,2026-07-27 11:14:06.209902-07:00,,,,
222,2026-07-27 11:14:06.243840-07:00,,,,
223,2026-07-27 11:14:06.276723-07:00,,,,
224,2026-07-27 11:14:06.310633-07:00,,,,
225,2026-07-27 11:14:06.344543-07:00,,,,
226,2026-07-27 11:14:06.378119-07:00,,,,
227,2026-07-27 11:14:06.411011-07:00,,,,
228,2026-07-27 11:14:06.440957-07:00,,,,
229,2026-07-27 11:14:06.477823-07:00,,,,
230,2026-07-27 11:14:06.511732-07:00,,,,
231,2026-07-27 11:14:06.543681-07:00,,,,
232,2026-07-27 11:14:06.577583-07:00,,,,
233,2026-07-27 11:14:06.611486-07:00,,,,
234,2026-07-27 11:14:06.644411-07:00,,,,
235,2026-07-27 11:14:06.677289-07:00,,,,
236,2026-07-27 11:14:06.713194-07:00,,,,
237,2026-07-27 11:14:06.759070-07:00,,,,
238,2026-07-27 11:14:06.790986-07:00,,,,
239,2026-07-27 11:14:06.816950-07:00,,,,
240,2026-07-27 11:14:06.841884-07:00,,,,
241,2026-07-27 11:14:06.879769-07:00,,,,
242,2026-07-27 11:14:06.912692-07:00,,,,
243,2026-07-27 11:14:06.945605-07:00,,,,
244,2026-07-27 11:14:06.979483-07:00,,,,
245,2026-07-27 11:14:07.012394-07:00,,,,
246,2026-07-27 11:14:07.046303-07:00,,,,
247,2026-07-27 11:14:07.079213-07:00,,,,
248,2026-07-27 11:14:07.113122-07:00,,,,
249,2026-07-27 11:14:07.145037-07:00,,,,
250,2026-07-27 11:14:07.178948-07:00,,,,
251,2026-07-27 11:14:07.212856-07:00,,,,
252,2026-07-27 11:14:07.246765-07:00,,,,
253,2026-07-27 11:14:07.278708-07:00,,,,
254,2026-07-27 11:14:07.312589-07:00,,,,
255,2026-07-27 11:14:07.346499-07:00,,,,
256,2026-07-27 11:14:07.379410-07:00,,,,
257,2026-07-27 11:14:07.412324-07:00,,,,
258,2026-07-27 11:14:07.444237-07:00,,,,
259,2026-07-27 11:14:07.478147-07:00,,,,
260,2026-07-27 11:14:07.512057-07:00,,,,
261,2026-07-27 11:14:07.545964-07:00,,,,
262,2026-07-27 11:14:07.578878-07:00,,,,
263,2026-07-27 11:14:07.611801-07:00,,,,
264,2026-07-27 11:14:07.642706-07:00,,,,
265,2026-07-27 11:14:07.678610-07:00,,,,
266,2026-07-27 11:14:07.712519-07:00,,,,
267,2026-07-27 11:14:07.746429-07:00,,,,
268,2026-07-27 11:14:07.779341-07:00,,,,
269,2026-07-27 11:14:07.813250-07:00,,,,
270,2026-07-27 11:14:07.850151-07:00,,,,
271,2026-07-27 11:14:07.886055-07:00,,,,
272,2026-07-27 11:14:07.911986-07:00,,,,
273,2026-07-27 11:14:07.944897-07:00,,,,
274,2026-07-27 11:14:07.977810-07:00,,,,
275,2026-07-27 11:14:08.011733-07:00,,,,
276,2026-07-27 11:14:08.041639-07:00,,,,
277,2026-07-27 11:14:08.077543-07:00,,,,
278,2026-07-27 11:14:08.111452-07:00,,,,
279,2026-07-27 11:14:08.145394-07:00,,,,
280,2026-07-27 11:14:08.179271-07:00,,,,
281,2026-07-27 11:14:08.213180-07:00,,,,
282,2026-07-27 11:14:08.245095-07:00,,,,
283,2026-07-27 11:14:08.279004-07:00,,,,
284,2026-07-27 11:14:08.313911-07:00,,,,
285,2026-07-27 11:14:08.346825-07:00,,,,
286,2026-07-27 11:14:08.379735-07:00,,,,
287,2026-07-27 11:14:08.417634-07:00,,,,
288,2026-07-27 11:14:08.443618-07:00,,,,
289,2026-07-27 11:14:08.479468-07:00,,,,
290,2026-07-27 11:14:08.514374-07:00,,,,
291,2026-07-27 11:14:08.547308-07:00,,,,
292,2026-07-27 11:14:08.581218-07:00,,,,
293,2026-07-27 11:14:08.614108-07:00,,,,
294,2026-07-27 11:14:08.647020-07:00,,,,
295,2026-07-27 11:14:08.679932-07:00,,,,
296,2026-07-27 11:14:08.712844-07:00,,,,
297,2026-07-27 11:14:08.745756-07:00,,,,
298,2026-07-27 11:14:08.779666-07:00,,,,
299,2026-07-27 11:14:08.813576-07:00,,,,
300,2026-07-27 11:14:08.842497-07:00,,,,
301,2026-07-27 11:14:08.880396-07:00,,,,
302,2026-07-27 11:14:08.913308-07:00,,,,
303,2026-07-27 11:14:08.946220-07:00,,,,
304,2026-07-27 11:14:08.979131-07:00,,,,
305,2026-07-27 11:14:09.013041-07:00,,,,
306,2026-07-27 11:14:09.046950-07:00,,,,
307,2026-07-27 11:14:09.080864-07:00,,,,
308,2026-07-27 11:14:09.112774-07:00,,,,
309,2026-07-27 11:14:09.145686-07:00,,,,
