frame_number,video_timestamp,matched_timestamp,time_difference,NDI Transform,SI Transform
121,2026-07-27 11:03:05.701251-07:00,,,,
122,2026-07-27 11:03:05.733166-07:00,,,,
123,2026-07-27 11:03:05.766078-07:00,,,,
124,2026-07-27 11:03:05.798990-07:00,,,,
125,2026-07-27 11:03:05.831932-07:00,,,,
126,2026-07-27 11:03:05.864814-07:00,,,,
127,2026-07-27 11:03:05.899720-07:00,,,,
128,2026-07-27 11:03:05.931635-07:00,,,,
129,2026-07-27 11:03:05.965545-07:00,,,,
130,2026-07-27 11:03:05.999454-07:00,,,,
131,2026-07-27 11:03:06.032366-07:00,,,,
132,2026-07-27 11:03:06.062285-07:00,,,,
133,2026-07-27 11:03:06.098258-07:00,,,,
134,2026-07-27 11:03:06.134129-07:00,,,,
135,2026-07-27 11:03:06.167040-07:00,,,,
136,2026-07-27 11:03:06.199951-07:00,,,,
137,2026-07-27 11:03:06.231866-07:00,,,,
138,2026-07-27 11:03:06.264777-07:00,,,,
139,2026-07-27 11:03:06.299026-07:00,,,,
140,2026-07-27 11:03:06.334945-07:00,,,,
141,2026-07-27 11:03:06.368820-07:00,,,,
142,2026-07-27 11:03:06.403726-07:00,,,,
143,2026-07-27 11:03:06.436638-07:00,,,,
144,2026-07-27 11:03:06.462601-07:00,,,,
145,2026-07-27 11:03:06.501494-07:00,,,,
146,2026-07-27 11:03:06.536371-07:00,,,,
147,2026-07-27 11:03:06.566319-07:00,,,,
148,2026-07-27 11:03:06.598915-07:00,,,,
149,2026-07-27 11:03:06.631924-07:00,,,,
150,2026-07-27 11:03:06.665799-07:00,,,,
151,2026-07-27 11:03:06.698711-07:00,,,,
152,2026-07-27 11:03:06.734763-07:00,,,,
153,2026-07-27 11:03:06.767674-07:00,,,,
154,2026-07-27 11:03:06.800620-07:00,,,,
155,2026-07-27 11:03:06.833529-07:00,,,,
156,2026-07-27 11:03:06.865415-07:00,,,,
157,2026-07-27 11:03:06.901317-07:00,,,,
158,2026-07-27 11:03:06.934229-07:00,,,,
159,2026-07-27 11:03:06.968161-07:00,,,,
160,2026-07-27 11:03:07.000076-07:00,,,,
161,2026-07-27 11:03:07.034023-07:00,,,,
162,2026-07-27 11:03:07.066934-07:00,,,,
163,2026-07-27 11:03:07.100872-07:00,,,,
164,2026-07-27 11:03:07.132758-07:00,,,,
165,2026-07-27 11:03:07.166668-07:00,,,,
166,2026-07-27 11:03:07.200652-07:00,,,,
167,2026-07-27 11:03:07.233531-07:00,,,,
168,2026-07-27 11:03:07.264112-07:00,,,,
169,2026-07-27 11:03:07.300029-07:00,,,,
170,2026-07-27 11:03:07.336916-07:00,,,,
171,2026-07-27 11:03:07.371823-07:00,,,,
172,2026-07-27 11:03:07.400745-07:00,,,,
173,2026-07-27 11:03:07.433657-07:00,,,,
174,2026-07-27 11:03:07.466569-07:00,,,,
175,2026-07-27 11:03:07.500479-07:00,,,,
176,2026-07-27 11:03:07.534389-07:00,,,,
177,2026-07-27 11:03:07.567300-07:00,,,,
178,2026-07-27 11:03:07.600212-07:00,,,,
