timestamp,SI Transform,NDI Transform
2026-07-18 20:49:43.764783-07:00,"[[-0.2836  -0.633    0.72034 -0.00555]
 [-0.9304   0.36353 -0.04685  0.85757]
 [-0.23221 -0.68349 -0.69204  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85703932  0.51524121 -0.00317625 -0.09154   ]
 [-0.51316661  0.85300212 -0.0951179   0.0109    ]
 [-0.04629931  0.08314973  0.99546095 -2.19176   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:43.830645-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85715477  0.51504437 -0.00387248 -0.09155   ]
 [-0.51298041  0.85299681 -0.09616411  0.01091   ]
 [-0.04622556  0.08441403  0.99535796 -2.19182   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:43.885605-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85715343  0.515047   -0.00381911 -0.09155   ]
 [-0.51298742  0.85301418 -0.09597249  0.01091   ]
 [-0.04617259  0.08422231  0.99537666 -2.19178   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:43.896577-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85715343  0.515047   -0.00381911 -0.09155   ]
 [-0.51298742  0.85301418 -0.09597249  0.01091   ]
 [-0.04617259  0.08422231  0.99537666 -2.19178   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:43.950789-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85716555  0.51502249 -0.00436427 -0.09155   ]
 [-0.51298744  0.85296133 -0.09644092  0.01091   ]
 [-0.04594669  0.08490465  0.99532914 -2.19176   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:44.016776-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85704198  0.51523613 -0.00328305 -0.09154   ]
 [-0.5131526   0.85296772 -0.09550115  0.0109    ]
 [-0.04640531  0.0835332   0.99542391 -2.19181   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:44.131673-07:00,"[[-0.28351 -0.633    0.72037 -0.00555]
 [-0.93041  0.36353 -0.04674  0.85757]
 [-0.23229 -0.68349 -0.69202  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85709104  0.51514623 -0.00439318 -0.09155   ]
 [-0.51324501  0.85313017 -0.0935333   0.01091   ]
 [-0.04443537  0.08242133  0.99560646 -2.19177   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:44.185917-07:00,"[[-0.28351 -0.633    0.72037 -0.00555]
 [-0.93041  0.36353 -0.04674  0.85757]
 [-0.23229 -0.68349 -0.69202  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85715201  0.51505    -0.00373334 -0.09155   ]
 [-0.51296285  0.85297974 -0.09640891  0.01091   ]
 [-0.04647095  0.08455215  0.99533481 -2.19181   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:44.197431-07:00,"[[-0.2836  -0.633    0.72034 -0.00555]
 [-0.9304   0.36353 -0.04685  0.85757]
 [-0.23221 -0.68349 -0.69204  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85715201  0.51505    -0.00373334 -0.09155   ]
 [-0.51296285  0.85297974 -0.09640891  0.01091   ]
 [-0.04647095  0.08455215  0.99533481 -2.19181   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:44.243204-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85706886  0.51518153 -0.00457731 -0.09155   ]
 [-0.51323238  0.85298271 -0.09493697  0.01091   ]
 [-0.04500541  0.08371674  0.99547276 -2.19181   ]
 [ 0.          0.          0.          1.        ]]"
