Tool ID,Timestamp,Frame #,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,Tracking Quality
1,1784432977.4247265,93,-91.54,10.9,-2191.86,0.8572247577623161,0.5149365061747229,-0.0024716973738792983,-0.512637048129541,0.8529234550701279,-0.09861458652890026,-0.04867208198103991,0.08580194869468252,0.9951226326618372,0.1605
1,1784432977.4759803,96,-91.55,10.9,-2191.8,0.8571533502043589,0.5150473716719797,-0.0037867092876993557,-0.5129558061825582,0.8529622979928138,-0.09660051297182867,-0.046523920052438564,0.08474386784071337,0.995316031080757,0.1453
1,1784432977.5354671,99,-91.54,10.91,-2191.81,0.8569656582590908,0.5153545090276287,-0.004426125783928958,-0.5134180089863123,0.8529351137665271,-0.09435909999895384,-0.04485318955318937,0.08313496093084664,0.9955283871683079,0.1776
1,1784432977.5955827,102,-91.55,10.91,-2191.82,0.8572399853594389,0.5149071451191718,-0.0031999072132329505,-0.5127589506253535,0.853062240368737,-0.09676297127857081,-0.047094225278004734,0.08458986914693364,0.9953023098451893,0.1154
1,1784432977.6542232,105,-91.55,10.91,-2191.78,0.856957783537979,0.5153707663744925,-0.004041088992111106,-0.5133973889865202,0.8529357374156284,-0.09446559596531197,-0.04523801736921753,0.08302771227624002,0.9955199248526752,0.12250000000000001
1,1784432977.715584,111,-91.54,10.91,-2191.8,0.8571338727998837,0.5150854848374825,-0.0029098812361588386,-0.5129277279876546,0.8529984688867845,-0.09643006760458046,-0.04718760388593066,0.0841460360714455,0.9953355085864101,0.13520000000000001
1,1784432977.7755337,114,-91.55,10.91,-2191.81,0.8571720631622177,0.5150084432401518,-0.004728374517988156,-0.51304663891228,0.8530299294684635,-0.09551484560968015,-0.04515750696218491,0.08429853392784253,0.9954167753974094,0.12240000000000001
1,1784432977.8355026,117,-91.55,10.92,-2191.82,0.8570583406705967,0.5152031730984368,-0.004085476259322942,-0.5132254276358462,0.8530176531405971,-0.09466014926309137,-0.045284225895627056,0.0832260407553432,0.9955012631961969,0.1355
1,1784432977.8952801,120,-91.55,10.91,-2191.78,0.857139667969759,0.5150741938974207,-0.0031881614785445405,-0.5129629555912018,0.8530324931101501,-0.0959404601272076,-0.046696849827688486,0.08386978287323685,0.9953819687622265,0.1413
1,1784432977.9491358,123,-91.55,10.9,-2191.81,0.8570404647228539,0.51523918609992,-0.0031973324392124023,-0.5131280605701921,0.8529335092571272,-0.09593759555979947,-0.0467036966749753,0.08386304247649494,0.995382215444639,0.135
1,1784432978.0129147,126,-91.54,10.91,-2191.81,0.857024378360927,0.5152700459725619,-0.002448391002336582,-0.5130467343675678,0.8528656799642992,-0.09696999687433061,-0.04787758609036926,0.08436179029908797,0.9952842936004224,0.128
1,1784432978.0613904,129,-91.55,10.91,-2191.83,0.8571681437296395,0.5150166982562774,-0.004535845267076032,-0.5130362142573464,0.8530302396385839,-0.09556805492752467,-0.04534993093241091,0.08424494512635633,0.9954125642089731,0.1499
1,1784432978.106894,132,-91.55,10.92,-2191.8,0.8571546974452197,0.5150447343897205,-0.00384008138149716,-0.5129487479774669,0.8529448220035288,-0.09679211003856654,-0.046576889075413935,0.08493557673196245,0.9952972124994954,0.1408
1,1784432978.165945,138,-91.54,10.9,-2191.82,0.8570486625531967,0.515223240270253,-0.003550028337599849,-0.5131174099134704,0.8528810866620699,-0.09645919167097687,-0.04667026526031682,0.08449180255828184,0.995330609215342,0.1268
1,1784432978.225476,141,-91.54,10.91,-2191.8,0.8571534994435097,0.515046642783237,-0.003851512619998193,-0.5130188044051364,0.8530657357507547,-0.09534441155488993,-0.04582122563255724,0.08370069441611888,0.9954368935476472,0.1255
1,1784432978.2772372,144,-91.55,10.91,-2191.78,0.857147863672206,0.5150582514833415,-0.0035408164449172324,-0.512952308635846,0.8529800651546072,-0.09646210403053616,-0.04666335679448615,0.08449855636497623,0.9953303597825727,0.1451
1,1784432978.3314164,147,-91.55,10.91,-2191.83,0.8570530275705088,0.5152139029041086,-0.003839555513422601,-0.5132219805756366,0.8530350760246556,-0.09452173149932824,-0.04542363466572979,0.08298068043783484,0.9955153941993206,0.1525
1,1784432978.3913982,150,-91.55,10.91,-2191.76,0.85717728113058,0.5149974420913854,-0.004974269083664595,-0.5130501748967765,0.853012292964333,-0.09565325969415758,-0.04501807139331584,0.08454385069927303,0.9954022857905065,0.1368
1,1784432978.4512413,153,-91.55,10.91,-2191.77,0.857039130717519,0.515241733649851,-0.0031439345500572434,-0.5131351090740698,0.8529507996266099,-0.09574598295421552,-0.04665070475889403,0.08367131719904063,0.9954008350527318,0.13670000000000002
1,1784432978.509258,156,-91.55,10.91,-2191.84,0.8571695472433939,0.5150141774299188,-0.0045567888626816926,-0.5129979660857464,0.8529610156133058,-0.09638772035796361,-0.0457542792582533,0.08495824203749643,0.9953334330963949,0.1446
1,1784432978.5580928,159,-91.55,10.91,-2191.83,0.857154769246892,0.5150443722874771,-0.003872483996848364,-0.5129804077294172,0.8529968148274029,-0.09616410546594845,-0.04622556482151442,0.08441403005012775,0.9953579600764882,0.1291
