Tool ID,Timestamp,Frame #,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,Tracking Quality
1,1787779715.406226,92,118.07000000000001,-223.85,-1588.6100000000001,0.9050679404664481,-0.2910776777782456,-0.31004162404271757,0.2063802863989358,0.938078173514484,-0.2782382392152867,0.3718322209353504,0.18783803096006318,0.9090971750034929,0.1293
1,1787779715.4580922,95,118.08,-223.85,-1588.6100000000001,0.9053162988233795,-0.291521417997044,-0.30889749421730534,0.2067132962524818,0.9377340117455032,-0.27914966660936225,0.37104179311389046,0.18886552375877702,0.909207238036605,0.1318
1,1787779715.5069792,98,118.08,-223.84,-1588.58,0.9054368026463466,-0.29112215051131385,-0.3089208472978622,0.20678235884917048,0.9380739339698106,-0.2779538639328058,0.3707091211210402,0.18779027634058104,0.909565588415478,0.1337
1,1787779715.5608423,101,118.08,-223.85,-1588.6000000000001,0.9051086342690443,-0.29147879591914083,-0.3095455890513593,0.20673947586299038,0.9378808529694452,-0.278636492142005,0.37153351032110304,0.18820100202398884,0.9091442314317597,0.1432
1,1787779715.6067193,104,118.07000000000001,-223.84,-1588.57,0.9051576180217906,-0.29129257687627635,-0.30957764970019563,0.20655107802054098,0.93793067935459,-0.278608493937263,0.3715189614349055,0.18824100345625058,0.9091418953673366,0.1336
1,1787779715.6665583,107,118.07000000000001,-223.84,-1588.58,0.9050837571827034,-0.2912219188176418,-0.3098599465633009,0.20664017817500233,0.9380728154657693,-0.2780633554568594,0.3716493364017272,0.18764111192458674,0.909212617525659,0.1242
1,1787779715.7269812,110,118.07000000000001,-223.84,-1588.58,0.9054944295436506,-0.2912512410868422,-0.30863012268862033,0.20666782392247807,0.9378730468370033,-0.2787159101519391,0.3706322282540555,0.18859178821478487,0.9094310797401766,0.1232
1,1787779715.772858,113,118.08,-223.84,-1588.5900000000001,0.9052131920203366,-0.2911380089633968,-0.3095605542203051,0.20678302824918632,0.9381615857384069,-0.2776573756861031,0.3712544359606354,0.18732725050463606,0.909438642789014,0.12490000000000001
1,1787779715.8316996,116,118.07000000000001,-223.82,-1588.57,0.9052892493311053,-0.29123673700013325,-0.30924511001314,0.2066539071076875,0.9379730088139854,-0.27838965033486196,0.37114085967817007,0.18811644733503402,0.9093220906364227,0.1303
1,1787779715.8895478,119,118.07000000000001,-223.83,-1588.56,0.9053359265009304,-0.29102236311989327,-0.3093102719775325,0.20650557850234913,0.9380694629670147,-0.2781746370469224,0.3711095609575591,0.18796719610849622,0.9093657278306666,0.14650000000000002
1,1787779715.951382,125,118.07000000000001,-223.83,-1588.56,0.9052131920203366,-0.2911380089633968,-0.3095605542203051,0.20678302824918632,0.9381615857384069,-0.2776573756861031,0.3712544359606354,0.18732725050463606,0.909438642789014,0.1258
1,1787779716.0092273,128,118.07000000000001,-223.83,-1588.58,0.9054990941944732,-0.2910521736582171,-0.3088041816779941,0.20689372365235112,0.9381648829103956,-0.27756375769719666,0.37049477395268765,0.18744408414924843,0.9097243196656866,0.13090000000000002
1,1787779716.057099,131,118.07000000000001,-223.84,-1588.5900000000001,0.9052846908829363,-0.29118049938391927,-0.3093114049489897,0.20673410830437136,0.9380662838588064,-0.27801556710178227,0.3711073118608457,0.1877380192338795,0.9094139867065805,0.1193
1,1787779716.113947,134,118.07000000000001,-223.84,-1588.5900000000001,0.9053722132116789,-0.29116407478200235,-0.30907060212923265,0.20671098763858597,0.9380294949686268,-0.2781568517192831,0.37090662320005324,0.18794719504489407,0.909452653380642,0.14600000000000002
1,1787779716.1758034,137,118.06,-223.84,-1588.5900000000001,0.9052177463845776,-0.29119431265751095,-0.3094942712011744,0.20670280019455042,0.9380684599753618,-0.2780315032351275,0.37128800683857016,0.1877057182809642,0.9093468971203834,0.13290000000000002
1,1787779716.2336268,140,118.06,-223.84,-1588.5900000000001,0.9054253108035467,-0.29123708599939757,-0.3088461854951106,0.2066765206702276,0.9379219580241613,-0.27854481948112475,0.3707962005737785,0.18837027471101403,0.9094101479779887,0.1404
1,1787779716.289478,143,118.05,-223.85,-1588.6100000000001,0.9053584377266023,-0.2912509689195609,-0.30902908008901564,0.2066451629035081,0.9379241367239268,-0.27856074813092296,0.37097692096116824,0.18833795914284998,0.9093431350486336,0.1169
1,1787779716.340341,146,118.05,-223.85,-1588.6000000000001,0.9052869692145608,-0.29120862178132595,-0.309278259776751,0.2066940088083564,0.9380196645979275,-0.27820261600193913,0.3711240898851029,0.18792723971742883,0.9093680566630554,0.11910000000000001
