Tool ID,Timestamp,Frame #,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,Tracking Quality
1,1784433129.149779,92,-88.21000000000001,52.230000000000004,-2156.67,0.9094330753894658,0.4158428251711719,0.002495223700678456,-0.41013661049207767,0.8959302543178228,0.1705782522248106,0.06869819591319729,-0.15615288710638525,0.9853409733318779,0.17250000000000001
1,1784433129.2024496,95,-88.22,52.230000000000004,-2156.61,0.9094180900762975,0.41585853316631727,0.004518609823634086,-0.41041638410687653,0.8956551273198663,0.1713484302883187,0.06720959082315539,-0.1576818737153801,0.9852001307363855,0.157
1,1784433129.261166,98,-88.23,52.22,-2156.53,0.9093759243691297,0.4159627855820252,0.0032232264321369066,-0.4103376908042647,0.8957531292499977,0.17102429928013255,0.06825252876790996,-0.15684799153855555,0.9852615388144951,0.15480000000000002
1,1784433129.3251884,101,-88.23,52.230000000000004,-2156.57,0.9093172796376149,0.4160986894038811,0.001991388666324306,-0.41021622314419404,0.895639355327628,0.17190926518842448,0.06974765387997421,-0.15713696530315116,0.9851107749454149,0.1593
1,1784433129.38559,104,-88.24,52.230000000000004,-2156.55,0.9093424961831182,0.41604235500975406,0.0022323694571451547,-0.4103163273521767,0.8959137137196205,0.17023257349091273,0.0688239503637852,-0.1557156909468517,0.9854013839290401,0.163
1,1784433129.431551,107,-88.23,52.24,-2156.57,0.9093646195702993,0.4159900432880951,0.0028762056487038716,-0.41029095580333996,0.8957218841147142,0.17129984793912761,0.06868275081668339,-0.1569541022183086,0.9852147428541141,0.1557
1,1784433129.4915705,113,-88.22,52.230000000000004,-2156.55,0.9093339199568706,0.41606242372111324,0.0019701733894798143,-0.4102489940685476,0.8958190361598066,0.17089182929403085,0.06933674986337772,-0.15620599867171614,0.985287826524491,0.1582
1,1784433129.5515335,116,-88.23,52.230000000000004,-2156.58,0.9093872787263153,0.41593491090141477,0.0035954393582667463,-0.4104431532338035,0.8959112724349265,0.16993943005530895,0.06746254704826476,-0.15601647931376636,0.9854479503902263,0.1575
1,1784433129.6080189,119,-88.24,52.230000000000004,-2156.55,0.9094058122360006,0.4158891793761729,0.004154413218936649,-0.4104387998199569,0.8957833237896085,0.17062305946968295,0.06723883010384384,-0.15687073435875495,0.9853276167996163,0.15430000000000002
1,1784433129.6733181,122,-88.23,52.230000000000004,-2156.57,0.9093935236231109,0.4159195280516821,0.0037901685461979476,-0.4104612388593335,0.8959109319993489,0.1698975377046976,0.06726805026462186,-0.1560594377451234,0.9854544440532359,0.1521
